Fase,Gate,Passo,Responsável,Duração Estimada,Entregável,Descrição,Skills,Agents,Descrição Skill
-,🚪 Gate -1: Diagnóstico,Reunião para explicarmos os próximos passos para obtermos as informações necessárias para construirmos um Diagnóstico.,Engagement Lead,1 reunião,Agenda de Diagnóstico,,"✅ brainstorming, ✅ business-analyst",,"Explora intenções e requisitos antes de implementar | Análise de negócios: requisitos, processos, stakeholders, gap analysis"
Fase 0: Diagnóstico,-,"Firmografia & Tecnografia (tamanho, vertical, tech stack)",Engagement Lead,2-5 dias,Documento de Diagnóstico,"Levantar dados concretos da empresa: quantidade de colaboradores (ideal 20-200), setor de atuação (agência de performance, marketing corporativo, vendas B2B), e tecnologias que já utilizam (CRM como Salesforce/HubSpot, ERP, Slack/Teams). Identificar se operam com silos de dados desconectados — pré-requisito para nossa solução.","✅ xlsx, ✅ business-analyst",,"Manipulação de ficheiros Excel e dados tabulares | Análise de negócios: requisitos, processos, stakeholders, gap analysis"
Fase 0: Diagnóstico,-,Mapeamento da dor operacional (Camada 2 architecture.md),Engagement Lead,2-5 dias,Documento de Diagnóstico,"Entrevistar o Campeão (Head de Ops/Marketing) para descobrir: quantas horas semanais a equipe perde em tarefas manuais (copiar dados, gerar relatórios, follow-up robótico)? Qual o ratio atual de operação vs estratégia (ex: 70/30)? A empresa escala contratando mais pessoas em vez de automatizar? Documentar exemplos concretos de tarefas repetitivas.","✅ brainstorming, ✅ business-analyst",,"Explora intenções e requisitos antes de implementar | Análise de negócios: requisitos, processos, stakeholders, gap analysis"
Fase 0: Diagnóstico,-,Identificação de gatilhos de urgência (Camada 3),Engagement Lead,2-5 dias,Documento de Diagnóstico,Investigar eventos recentes que tornam a dor insuportável: perderam meta do último trimestre? Time-to-lead muito lento? CTO bloqueou contratações mas exige mesmas metas? Perderam negócios para concorrentes mais rápidos? Tiveram problemas com LGPD ao usar IA pública? Gastam mais tempo planejando IA do que obtendo resultado?,✅ business-analyst,,"Análise de negócios: requisitos, processos, stakeholders, gap analysis"
Fase 0: Diagnóstico,-,Definir métrica de sucesso com baseline numérica (ganho de tempo),Engagement Lead + Decisor,2-5 dias,Documento de Diagnóstico,"Quantificar o ganho de tempo esperado com baseline atual: 'Hoje o follow-up de 100 leads leva 15h/semana de um analista sênior. Com automação, queremos reduzir para 2h/semana.' Definir qual perfil ganha tempo (operadores, gestores, clientes finais) e como será medido (horas liberadas, redução de SLA, velocidade de resposta).","✅ xlsx, ✅ business-analyst",,"Manipulação de ficheiros Excel e dados tabulares | Análise de negócios: requisitos, processos, stakeholders, gap analysis"
Fase 0: Diagnóstico,-,Estratégia de delegação Humano vs IA,Engagement Lead,2-5 dias,Documento de Diagnóstico,"Mapear claramente o que permanece humano (senso crítico, criatividade, reflexão, sentimentos, comunicação, revisão, gestão, estratégia) e o que será delegado à IA (predição, análise de dados, relatórios, tarefas repetitivas, padrões, planilhas, scraping, geração de código, protótipos). Humanos e IA trabalham juntos — este documento define a fronteira.","✅ business-analyst, ✅ ai-engineer",,"Análise de negócios: requisitos, processos, stakeholders, gap analysis | Design de sistemas IA: LLMs, RAG, agentes, arquitetura"
Fase 0: Diagnóstico,-,Análise da stack do cliente (própria ou stack Atomica?),Tech Lead,2-5 dias,Documento de Diagnóstico,"Verificar se o cliente já possui stack tecnológica definida (linguagens, frameworks, cloud, banco de dados). Se sim, o projeto usará a stack do cliente. Se não, adotaremos a stack padrão Atomica: Next.js, n8n, Python, Supabase, Docker, Easypanel, GitHub.",✅ business-analyst,,"Análise de negócios: requisitos, processos, stakeholders, gap analysis"
Fase 0: Diagnóstico,-,Estimativa de prazo do projeto (2 semanas a 4 meses),Delivery Manager,2-5 dias,Documento de Diagnóstico,"Com base na complexidade do escopo preliminar, definir prazo estimado: scripts simples de automação (2-4 semanas), dashboards personalizados (4-8 semanas), sistemas com múltiplos agentes de IA (8-16 semanas). Alinhar expectativa com o Decisor.",✅ business-manager,,"Gestão: OKRs, operações, decisões, scaling"
Fase 0: Diagnóstico,-,Identificar ICP negativo / deal breakers,Engagement Lead,2-5 dias,Documento de Diagnóstico,"Verificar se o cliente NÃO se enquadra nos deal breakers: mentalidade de 'bala de prata' (quer software barato sem consultoria), sem orçamento para transformação (microempresa), paralisia por burocracia extrema (governo, setores ultra-regulamentados), resistência exacerbada a IA. Se sim, recusar o projeto.",✅ business-analyst,,"Análise de negócios: requisitos, processos, stakeholders, gap analysis"
-,🚪 Gate 0: Kickoff,Alinhamento de expectativas com cliente,Decisor + Campeão + Guardião + Atomica,1 reunião,Aprovação do escopo e prazo,"Reunião formal com todos os stakeholders. Apresentar o Documento de Diagnóstico. Alinhar o que será entregue, em quanto tempo, com qual investimento. Validar que as dores mapeadas são reais e que a solução proposta as ataca. Esclarecer dúvidas sobre IA, segurança e governança.","✅ pptx, ✅ docx",,Criação de apresentações PowerPoint e pitch decks | Criação e edição de documentos Word
